id,project,meeting_number,speaker_number,speech_frequency,total_words,duration,normalized_speech_frequency,speaker_id,next_speaker_id,count,network_density,weighted_network_density,gini_coefficient,interaction_equality_index,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
4_1_SPEAKER_04,4,2,4,367,11416,126,2.9126984126984126,4,1,1,0.9,15.0,0.41333333264444444,0.1872543106508927,32,0.08333333333333333,0.2222222222222222,0.10672439353396808
4_1_SPEAKER_04,4,2,4,367,11416,126,2.9126984126984126,4,2,0,0.9,15.0,0.41333333264444444,0.1872543106508927,32,0.08333333333333333,0.2222222222222222,0.10672439353396808
4_1_SPEAKER_04,4,2,4,367,11416,126,2.9126984126984126,4,3,10,0.9,15.0,0.41333333264444444,0.1872543106508927,32,0.08333333333333333,0.2222222222222222,0.10672439353396808
4_1_SPEAKER_04,4,2,4,367,11416,126,2.9126984126984126,4,4,2,0.9,15.0,0.41333333264444444,0.1872543106508927,32,0.08333333333333333,0.2222222222222222,0.10672439353396808
4_2_SPEAKER_00,4,3,0,2021,9697,114,17.728070175438596,0,0,3,0.95,20.75,0.28819277073711713,0.43663907998407425,180,0.0,0.12121212121212122,0.5037009349869673
4_2_SPEAKER_00,4,3,0,2021,9697,114,17.728070175438596,0,1,15,0.95,20.75,0.28819277073711713,0.43663907998407425,180,0.0,0.12121212121212122,0.5037009349869673
4_2_SPEAKER_00,4,3,0,2021,9697,114,17.728070175438596,0,2,5,0.95,20.75,0.28819277073711713,0.43663907998407425,180,0.0,0.12121212121212122,0.5037009349869673
4_2_SPEAKER_00,4,3,0,2021,9697,114,17.728070175438596,0,3,52,0.95,20.75,0.28819277073711713,0.43663907998407425,180,0.0,0.12121212121212122,0.5037009349869673
4_2_SPEAKER_00,4,3,0,2021,9697,114,17.728070175438596,0,4,15,0.95,20.75,0.28819277073711713,0.43663907998407425,180,0.0,0.12121212121212122,0.5037009349869673
4_2_SPEAKER_01,4,3,1,1611,9697,114,14.131578947368421,1,0,16,0.95,20.75,0.28819277073711713,0.43663907998407425,120,0.25,0.08163265306122448,0.34911905659265247
4_2_SPEAKER_01,4,3,1,1611,9697,114,14.131578947368421,1,1,6,0.95,20.75,0.28819277073711713,0.43663907998407425,120,0.25,0.08163265306122448,0.34911905659265247
4_2_SPEAKER_01,4,3,1,1611,9697,114,14.131578947368421,1,2,1,0.95,20.75,0.28819277073711713,0.43663907998407425,120,0.25,0.08163265306122448,0.34911905659265247
4_2_SPEAKER_01,4,3,1,1611,9697,114,14.131578947368421,1,3,34,0.95,20.75,0.28819277073711713,0.43663907998407425,120,0.25,0.08163265306122448,0.34911905659265247
4_2_SPEAKER_01,4,3,1,1611,9697,114,14.131578947368421,1,4,3,0.95,20.75,0.28819277073711713,0.43663907998407425,120,0.25,0.08163265306122448,0.34911905659265247
4_2_SPEAKER_02,4,3,2,790,9697,114,6.9298245614035086,2,0,2,0.95,20.75,0.28819277073711713,0.43663907998407425,72,0.8333333333333333,0.13333333333333333,0.19157390127029653
